列車番号,,418H,478T,464T,496T,460T,494T,554T,514H,534T,536T,576T,522H,504H,568T,562T,510H,612H,552T,544T,686T,698T,602H,670T,642T,638T,628T,622T,640T,618H,656T,600H,608H,632T,630T,678T,728H,716H,606H,690T,780T,720T,764T,692T,724T,796T,726T,794T,748T,750T,760T,788T,772T,726H,754T,774T,734T,784T,886T,714H,746T,842T,782T,724H,836T,820H,766T,822H,840T,852T,810H,526M,858T,868T,880T,876T,862T,812H,898T,804H,844T,870T,838T,990T,922T,918H,902H,932T,996T,930T,928H,928T,906H,956T,924T,908H,994T,1088T,1074T,1054T,1092T,1014H,1050T,1082T,1066T,1010H,1180T,1042T,1052T,1168T,1036T,1190T,1144T,1132T,1104H,1170T,1112H,1184T,1176T,1256T,1122T,1118H,1230T,1138T,1206H,1296T,1248T,1228T,1274T,1228H,1208H,1282T,1350T,1202H,1288T,1394T,1254T,1310H,1368T,1342T,1314H,1304H,1344T,1392T,1352T,1456T,1324T,1380T,1336T,1390T,1432T,1476T,1496T,1422T,1466T,1484T,1418H,1412H,1406H,1438T,1428T,1474T,1528H,1508H,1542T,1582T,1520H,1570T,1548T,1680T,1550T,1554T,1614H,1568T,1502H,1630T,1634T,1652T,1698T,1510H,1604H,1640T,1692T,1624T,1694T,1662T,1676T,1764T,1644T,1690T,1666T,1726H,2625M,1722H,1724H,1646T,1758T,1688T,1722T,1656T,1772T,1796T,1750T,1784T,1706H,1732T,1774T,1786T,1728H,1708H,1898T,1718H,1728T,1742T,1712H,1782T,1738T,1836T,1820H,1844T,1880T,1814H,1870T,1868T,1830T,544M,1802H,1922T,2627M,1854T,1840T,1810H,1978T,1992T,1994T,1852T,1964T,1996T,1934T,1958T,1948T,1924T,1922H,1956T,1988T,1962T,1972T,1966T,2074T,1946T,2032T,2012H,2050T,2076T,2020H,2028T,2090T,2030T,2098T,2086T,2036T,2044T,2042T,2114H,2038T,2140T,2122T,2154T,2180T,2128H,2178T,2168T,2192T,2134T,2152T,2196T,2110H,2258T,2270T,2262T,2294T,2288T,2202H,2266T,2232T,2256T,2212H,2272T,2350T,2336T,2344T,2354T,2478T
列車名,,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,青梅特快,快速,中央特快,快速,快速,中央特快,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,通勤特別快速,快速,快速,快速,快速,快速,快速,通勤特別快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,通勤特別快速,快速,快速,快速,快速,普通,快速,快速,快速,快速,快速,通勤特別快速,快速,快速,快速,快速,快速,快速,快速,中央特快,快速,快速,快速,快速,中央特快,快速,快速,青梅特快,快速,快速,快速,中央特快,快速,快速,快速,中央特快,快速,中央特快,快速,快速,快速,青梅特快,快速,快速,快速,快速,中央特快,快速,中央特快,快速,快速,中央特快,快速,快速,中央特快,快速,快速,青梅特快,快速,中央特快,快速,快速,中央特快,快速,中央特快,快速,快速,中央特快,快速,快速,青梅特快,快速,快速,中央特快,快速,快速,中央特快,快速,中央特快,快速,中央特快,快速,快速,青梅特快,快速,中央特快,快速,快速,中央特快,快速,中央特快,快速,中央特快,快速,快速,青梅特快,快速,中央特快,快速,快速,快速,中央特快,快速,快速,快速,中央特快,快速,快速,快速,中央特快,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,中央特快,快速,快速,快速,快速,快速,普通 むさしの号,快速,快速,快速,快速,快速,中央特快,快速,快速,快速,快速,快速,快速,快速,中央特快,快速,快速,快速,快速,快速,中央特快,快速,快速,快速,快速,中央特快,快速,快速,快速,快速,青梅特快,快速,快速,普通,快速,快速,普通 むさしの号,快速,快速,快速,快速,快速,快速,快速,中央特快,快速,快速,快速,快速,快速,快速,中央特快,快速,快速,快速,快速,快速,快速,中央特快,快速,快速,快速,快速,快速,快速,快速,中央特快,快速,快速,快速,快速,快速,快速,中央特快,快速,快速,快速,快速,快速,快速,快速,快速,中央特快,快速,快速,快速,中央特快,快速,快速,中央特快,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速
設備,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
運転日,,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日
前の区間,,,,,,↑,,,,,,,,,↑,,↑,,,↑,,↑,,,↑,,,,↑,,↑,,↑,↑,,,,,↑,,↑,,,↑,,,↑,,↑,,,↑,,↑,,↑,,↑,,,,,↑,↑,,↑,↑,,,,,↑,↑,,,↑,,,,↑,,,,,,,↑,,,,,↑,,↑,,↑,,,,,↑,,↑,,,,,↑,,,↑,,,,,,↑,↑,↑,,,↑,,↑,,,,,,↑,,,,↑,↑,,↑,,,,↑,,,↑,,,↑,↑,,↑,,,,,↑,↑,,↑,,↑,,↑,,,,,,↑,↑,,,,,,↑,↑,,,,↑,,,,,↑,,,,↑,,,,,,,,,↑,,↑,,,,,,↑,,,,,,↑,,,↑,,↑,↑,,,,,↑,,,↑,,,,↑,,,,,,↑,,,↑,,↑,↑,,,,↑,,↑,,↑,,,↑,↑,,,↑,,,↑,,,↑,,↑,,,,↑,↑,,↑,,,,,↑,,↑,,↑,,↑,,,↑,,↑,,,,,
始発,,,,,,青梅 0435,,,,,,,,,青梅 0531,,青梅 0541,,,青梅 0550,,大月 0536,,,青梅 0609,,,,青梅 0619,,大月 0600,,青梅 0627,青梅 0635,,,,,青梅 0643,,大月 0626,,,青梅 0653,,,青梅 0701,,河辺 0710,,,青梅 0709,,河口湖 0549,,青梅 0718,,青梅 0726,,,,,大月 0714,青梅 0743,,河口湖 0615,青梅 0751,,,,,小淵沢 0602,青梅 0803,,,青梅 0816,,,,青梅 0824,,,,,,,青梅 0902,,,,,青梅 0921,,青梅 0932,,青梅 0944,,,,,青梅 1003,,青梅 1019,,,,,青梅 1042,,,青梅 1056,,,,,,青梅 1122,大月 1104,青梅 1135,,,青梅 1147,,青梅 1158,,,,,,青梅 1222,,,,大月 1219,青梅 1247,,青梅 1257,,,,青梅 1312,,,青梅 1322,,,大月 1315,青梅 1346,,青梅 1357,,,,,大月 1348,青梅 1422,,青梅 1436,,青梅 1446,,青梅 1457,,,,,,大月 1447,青梅 1521,,,,,,青梅 1546,大月 1525,,,,青梅 1559,,,,,青梅 1612,,,,青梅 1623,,,,,,,,,大月 1613,,青梅 1646,,,,,,青梅 1713,,,,,,青梅 1731,,,青梅 1744,,青梅 1754,大月 1727,,,,,青梅 1814,,,甲府 1652,,,,青梅 1830,,,,,,青梅 1853,,,青梅 1905,,大月 1847,青梅 1915,,,,青梅 1935,,青梅 1944,,青梅 1952,,,青梅 2004,大月 1940,,,大月 1954,,,青梅 2031,,,青梅 2048,,青梅 2057,,,,青梅 2115,大月 2050,,青梅 2127,,,,,青梅 2145,,大月 2131,,青梅 2200,,大月 2148,,,青梅 2232,,青梅 2242,,,,,
高尾,発,,,427,,・,457,,508,,,524,,538,・,548,・,,557,・,606,612,,,・,619,,626,・,633,637,,・,・,644,650,,,・,659,703,,706,・,,712,・,718,・,,725,・,,731,733,・,739,・,,746,,,752,・,800,803,・,806,,,814,818,・,823,,・,832,836,840,・,843,852,858,,905,911,・,919,,927,933,・,939,・,950,・,958,1005,,1018,・,1026,・,1033,1039,1047,,・,1058,1105,・,,1119,,1128,1135,・,1141,・,,1151,・,1200,・,,1212,,1225,1233,・,1242,,,1255,・,1300,・,1308,,1318,・,,1334,・,1344,,1352,・,1359,・,1408,1418,,1423,1430,・,1440,・,1452,・,1459,・,,1512,,1521,,1531,・,,1538,1548,,1554,・,1602,,1607,,・,,,1613,1623,・,,1632,,・,1638,1646,,,,,1653,,1657,1702,・,,1708,,1716,,・,1730,,1736,1741,,・,1750,,・,1758,・,1808,1813,,1818,1821,・,,1829,1835,1838,,,・,1843,1849,,1900,1907,・,1913,,・,,1923,・,1931,1939,1943,・,1951,・,2001,・,2010,,・,2018,,2027,2032,,2042,・,2051,2055,・,2104,・,2111,2117,2122,・,2126,2133,・,2139,2146,2150,2156,・,2203,2213,2216,・,2224,2230,2235,2242,・,2252,・,2303,2320,2334,2350,13
西八王子,発,,,430,,・,501,,511,,,527,,542,・,551,・,,600,・,609,615,,,・,622,,630,・,636,640,,・,・,648,653,,,・,702,レ,,709,・,,716,・,721,・,,728,・,,734,737,・,742,・,,749,,,755,・,804,807,・,809,,,817,821,・,826,,・,835,レ,844,・,846,855,901,,908,914,・,922,,931,936,・,942,・,954,・,1001,1008,,1021,・,1029,・,1036,1043,1051,,・,1102,1108,・,,1122,,1131,1138,・,1144,・,,1154,・,1203,・,,1216,,1228,1236,・,1246,,,1258,・,1303,・,1312,,1322,・,,1337,・,1348,,1355,・,1402,・,1411,1421,,1427,1433,・,1444,・,1456,・,1502,・,,1515,,1524,,1534,・,,1541,1551,,1558,・,1605,,1610,,・,,,1617,1626,・,,1635,,・,1641,1650,,,,,1656,,1700,1706,・,,1711,,1720,,・,1733,,1740,1744,,・,1754,,・,1801,・,1812,1816,,1821,1825,・,,1832,1838,1841,,,・,1847,1853,,1903,1910,・,1916,,・,,1927,・,1934,1942,1946,・,1954,・,2004,・,2013,,・,2021,,2030,2035,,2046,・,2054,2059,・,2107,・,2114,2120,2125,・,2129,2136,・,2143,2149,2153,2200,・,2207,2216,2219,・,2227,2234,2238,2245,・,2255,・,2307,2323,2337,2353,16
八王子,発,,,433,,・,504,,514,,,530,,545,・,554,・,,604,・,613,618,,,・,630,,634,・,640,644,,・,・,653,658,702,,・,706,710,,713,・,717,721,・,725,・,,732,・,735,738,740,・,746,・,,753,756,,759,・,807,810,・,813,,818,821,825,・,829,,・,839,843,847,・,849,858,905,,911,919,・,926,,935,939,・,945,・,958,・,1004,1012,,1024,・,1032,・,1040,1046,1054,,・,1105,1111,・,,1125,,1134,1141,・,1149,・,,1200,・,1206,・,,1221,,1231,1239,・,1249,1253,,1301,・,1306,・,1315,,1327,・,,1341,・,1351,,1358,・,1405,・,1414,1424,,1430,1437,・,1449,・,1459,・,1505,・,1514,1520,,1528,,1538,・,,1544,1554,,1601,・,1608,,1613,,・,1617,,1621,1629,・,,1638,,・,1644,1653,,1655,,,1700,,1703,1709,・,,1715,,1723,1732,・,1736,,1743,1747,,・,1757,1759,・,1804,・,1815,1819,,1824,1828,・,1833,1838,1842,1844,,1848,・,1851,1857,,1906,1914,・,1919,,・,,1930,・,1939,1946,1949,・,1958,・,2007,・,2016,,・,2026,,2034,2038,,2049,・,2058,2102,・,2110,・,2119,2123,2128,・,2132,2141,・,2148,2153,2156,2203,・,2210,2219,2222,・,2230,2237,2241,2248,・,2258,・,2310,2326,2340,2358,19
豊田,発,,428,438,449,・,508,513,519,525,530,535,544,550,・,559,・,603,609,・,618,623,625,,・,634,,639,・,646,649,654,・,・,658,704,706,,・,710,レ,716,719,・,722,726,・,730,・,734,737,・,740,743,746,・,751,・,,757,800,,803,・,812,815,・,818,,823,826,829,・,834,,・,844,レ,852,・,900,904,910,,920,924,・,931,938,941,944,・,950,・,1003,・,1009,1016,1019,1029,・,1037,・,1044,1050,1058,1101,・,1110,1116,・,,1130,,1139,1146,・,1154,・,1202,1205,・,1211,・,1219,1227,1232,1235,1244,・,1253,1257,1302,1306,・,1311,・,1319,1326,1331,・,1343,1346,・,1355,,1403,・,1410,・,1419,1428,1431,1439,1442,・,1453,・,1503,・,1510,・,1519,1525,,1533,1539,1543,・,,1549,1559,1602,1605,・,1613,,1618,,・,1623,,1629,1633,・,1639,1643,,・,1649,1658,,1700,1703,,1706,,1711,1714,・,1717,1724,,1727,1737,・,1741,1745,1747,1752,,・,1801,1804,・,1809,・,1820,1824,,1829,1836,・,1839,1843,1846,1849,,1853,・,1857,1902,1907,1910,1918,・,1924,,・,1932,1938,・,1944,1951,1954,・,2003,・,2012,・,2021,,・,2031,2035,2039,2047,,2053,・,2103,2106,・,2115,・,2124,2128,2133,・,2143,2146,・,2154,2158,2201,2207,・,2214,2223,2227,・,2235,2242,2246,2253,・,2303,・,2314,2331,2344,2,24
日野,発,,431,440,452,・,511,516,522,528,533,538,546,552,・,601,・,606,612,・,621,626,628,,・,637,,642,・,648,652,657,・,・,700,706,709,,・,713,レ,719,721,・,725,729,・,732,・,737,740,・,743,746,749,・,753,・,,800,803,,806,・,815,818,・,821,,825,828,832,・,837,,・,846,レ,854,・,903,907,913,,923,927,・,934,941,943,946,・,953,・,1005,・,1012,1019,1022,1032,・,1040,・,1047,1053,1101,1104,・,1112,1118,・,,1132,,1142,1149,・,1156,・,1205,1208,・,1214,・,1222,1229,1235,1238,1246,・,1256,1300,1305,1309,・,1314,・,1322,1329,1334,・,1346,1349,・,1358,,1406,・,1413,・,1422,1431,1434,1442,1445,・,1456,・,1506,・,1513,・,1522,1528,,1535,1542,1545,・,,1552,1601,1605,1608,・,1615,,1621,,・,1625,,1632,1636,・,1642,1646,,・,1652,1700,,1703,1706,,1708,,1714,1717,・,1720,1727,,1730,1739,・,1744,1748,1750,1754,,・,1804,1806,・,1812,・,1822,1827,,1832,1839,・,1841,1846,1849,1852,,1856,・,1859,1905,1910,1913,1921,・,1927,,・,1935,1941,・,1947,1953,1957,・,2006,・,2015,・,2024,,・,2034,2038,2042,2050,,2056,・,2106,2109,・,2118,・,2126,2131,2136,・,2146,2149,・,2157,2200,2204,2210,・,2217,2226,2229,・,2238,2244,2248,2255,・,2306,・,2317,2334,2347,5,26
